obs_wl_vac(nm)	ritz_wl_vac(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
""	"1012.385223"	"0.000005"	""	"2.7161e+06"	AA	"(411478.097707)"	"(421353.05378699)"	"4d"	"2D"	"5/2"	"5p"	"2P*"	"3/2"		"T7771"	""	
""	"1012.385242"	"0.000005"	""	"8.0837e+05"	AA	"(411478.097267)"	"(421353.053159)"	"4f"	"2F*"	"5/2"	"5d"	"2D"	"3/2"		"T7771"	""	
""	"1012.395660"	"0.000005"	""	"6.8887e+06"	AA	"(411477.8548989)"	"(421352.709172)"	"4p"	"2P*"	"3/2"	"5s"	"2S"	"1/2"		"T7771"	""	
""	"1012.398636"	"0.000005"	""	"3.0191e+06"	AA	"(411477.853680)"	"(421352.6789311)"	"4d"	"2D"	"3/2"	"5p"	"2P*"	"1/2"		"T7771"	""	
""	"1863.537402"	"0.000009"	""	"5.9966e+06"	AA	"(421352.6789311)"	"(426717.352717)"	"5p"	"2P*"	"1/2"	"6d"	"2D"	"3/2"		"T7771"	""	
""	"1863.547779"	"0.000009"	""	"3.8892e+06"	AA	"(421352.709172)"	"(426717.3530854)"	"5s"	"2S"	"1/2"	"6p"	"2P*"	"3/2"		"T7771"	""	
""	"1863.606550"	"0.000009"	""	"1.4313e+06"	AA	"(421352.6789311)"	"(426717.1536654)"	"5p"	"2P*"	"1/2"	"6s"	"2S"	"1/2"		"T7771"	""	
""	"1863.623138"	"0.000009"	""	"3.8902e+06"	AA	"(421352.709172)"	"(426717.1361554)"	"5s"	"2S"	"1/2"	"6p"	"2P*"	"1/2"		"T7771"	""	
""	"1863.642333"	"0.000010"	""	"1.0808e+07"	AA	"(421353.053159)"	"(426717.424890)"	"5d"	"2D"	"3/2"	"6f"	"2F*"	"5/2"		"T7771"	""	
""	"1863.642506"	"0.000009"	""	"7.1965e+06"	AA	"(421353.05378699)"	"(426717.425022)"	"5p"	"2P*"	"3/2"	"6d"	"2D"	"5/2"		"T7771"	""	
""	"1863.667280"	"0.000010"	""	"1.5360e+05"	AA	"(421353.053159)"	"(426717.3530854)"	"5d"	"2D"	"3/2"	"6p"	"2P*"	"3/2"		"T7771"	""	
""	"1863.667626"	"0.000009"	""	"1.1995e+06"	AA	"(421353.05378699)"	"(426717.352717)"	"5p"	"2P*"	"3/2"	"6d"	"2D"	"3/2"		"T7771"	""	
""	"1863.673126"	"0.000009"	""	"1.7071e+07"	AA	"(421353.177874)"	"(426717.4609726)"	"5f"	"2F*"	"5/2"	"6g"	"2G"	"7/2"		"T7771"	""	
""	"1863.673181"	"0.000010"	""	"1.1580e+07"	AA	"(421353.178101)"	"(426717.461041)"	"5d"	"2D"	"5/2"	"6f"	"2F*"	"7/2"		"T7771"	""	
